operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
明椒,5,2022-10-11 16:00:00,Paprika,build_char_4071_peper,4071_peper,paprika,明椒,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/paprika,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
白铁,6,2022-10-11 16:00:00,Stainless,build_char_4072_ironmn,4072_ironmn,stainless,白铁,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/stainless,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
石英,4,2022-11-01 16:00:00,Quartz,build_char_4063_quartz,4063_quartz,quartz,石英,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/quartz,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
雪绒,5,2022-11-01 16:00:00,Qanipalaat,build_char_466_qanik,466_qanik,qanipalaat,雪绒,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/qanipalaat,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
子月,5,2022-11-01 16:00:00,Lunacub,build_char_4014_lunacu,4014_lunacu,lunacub,子月,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lunacub,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
伺夜,6,2022-11-01 16:00:00,Vigil,build_char_427_vigil,427_vigil,vigil,伺夜,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/vigil,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
斥罪,6,2022-11-01 16:00:00,Penance,build_char_4065_judge,4065_judge,penance,斥罪,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/penance,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
谜图,5,2022-12-15 16:00:00,Puzzle,build_char_4017_puzzle,4017_puzzle,puzzle,谜图,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/puzzle,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
和弦,5,2022-12-15 16:00:00,Harmonie,build_char_297_hamoni,297_hamoni,harmonie,和弦,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/harmonie,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
截云,5,2023-01-17 16:00:00,Jieyun,build_char_4078_bdhkgt,4078_bdhkgt,jieyun,截云,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/jieyun,e6e1ce657abff7a3c860b6e67540dfec2291e1fa
