operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
火哨,5,2023-01-17 16:00:00,Firewhistle,build_char_493_firwhl,493_firwhl,firewhistle,火哨,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/firewhistle,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
林,6,2023-01-17 16:00:00,Lin,build_char_4080_lin,4080_lin,lin,林,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lin,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
重岳,6,2023-01-17 16:00:00,Chongyue,build_char_2024_chyue,2024_chyue,chongyue,重岳,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/chongyue,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
铎铃,5,2023-02-14 16:00:00,Wind Chimes,build_char_4083_chimes,4083_chimes,wind-chimes,铎铃,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/wind-chimes,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
仇白,6,2023-02-14 16:00:00,Qiubai,build_char_4082_qiubai,4082_qiubai,qiubai,仇白,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/qiubai,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
泰拉大陆调查团,1,2023-03-07 16:00:00,Terra Research Commission,build_char_4077_palico,4077_palico,terra-research-commission,泰拉大陆调查团,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/terra-research-commission,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
U-Official,1,2023-04-01 16:00:00,U-Official,build_char_4091_ulika,4091_ulika,u-official,U-Official,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/u-official,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
休谟斯,4,2023-04-06 16:00:00,Humus,build_char_491_humus,491_humus,humus,休谟斯,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/humus,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
摩根,5,2023-04-06 16:00:00,Morgan,build_char_154_morgan,154_morgan,morgan,摩根,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/morgan,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
洋灰,5,2023-04-06 16:00:00,Cement,build_char_464_cement,464_cement,cement,洋灰,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/cement,6aaa1d9222293854ee7e292e06b6c0cbc7b0dcd8
